serviceCode,serviceCodeCategoryID,serviceCodeCategory,serviceName,BusinessUnitCategory
168-167,168,DOCTOR VISITING FEE,DR.SUBRHARMANYAM(SHARING / SEMIPRIVATE CONSULTATION),
168-168,168,DOCTOR VISITING FEE,DR.SUBRHARMANYAM(SINGLE ROOM  CONSULTATION),
168-169,168,DOCTOR VISITING FEE,DR.SUBRHARMANYAM(DELUXE ROOM / BMT CONSULTATION),
168-170,168,DOCTOR VISITING FEE,DR.SUBRHARMANYAM(ALL ICUS CONSULTATION),
168-171,168,DOCTOR VISITING FEE,DR.SRIDHAR(GENERAL WARD CONSULTATION),
168-172,168,DOCTOR VISITING FEE,DR.SRIDHAR(SHARING / SEMIPRIVATE CONSULTATION),
168-173,168,DOCTOR VISITING FEE,DR.SRIDHAR(SINGLE ROOM  CONSULTATION),
168-174,168,DOCTOR VISITING FEE,DR.SRIDHAR(DELUXE ROOM / BMT CONSULTATION),
168-175,168,DOCTOR VISITING FEE,DR.SRIDHAR(ALL ICUS CONSULTATION),
168-176,168,DOCTOR VISITING FEE,DR.SRINIVAS REDDY(GENERAL WARD CONSULTATION),
168-177,168,DOCTOR VISITING FEE,DR.SRINIVAS REDDY(SHARING / SEMIPRIVATE CONSULTATION),
168-178,168,DOCTOR VISITING FEE,DR.SRINIVAS REDDY(SINGLE ROOM  CONSULTATION),
168-179,168,DOCTOR VISITING FEE,DR.SRINIVAS REDDY(DELUXE ROOM / BMT CONSULTATION),
168-180,168,DOCTOR VISITING FEE,DR.SRINIVAS REDDY(ALL ICUS CONSULTATION),
168-181,168,DOCTOR VISITING FEE,DR.RAJENNDER PRASAD(GENERAL WARD CONSULTATION),
168-182,168,DOCTOR VISITING FEE,DR.RAJENNDER PRASAD(SHARING / SEMIPRIVATE CONSULTATION),
168-183,168,DOCTOR VISITING FEE,DR.RAJENNDER PRASAD(SINGLE ROOM  CONSULTATION),
168-184,168,DOCTOR VISITING FEE,DR.RAJENNDER PRASAD(DELUXE ROOM / BMT CONSULTATION),
168-185,168,DOCTOR VISITING FEE,DR.RAJENNDER PRASAD(ALL ICU'S  CONSULTATION),
168-186,168,DOCTOR VISITING FEE,DR.MADHAVA RAO(GENERAL WARD CONSULTATION),
168-187,168,DOCTOR VISITING FEE,DR.MADHAVA RAO(SHARING / SEMIPRIVATE CONSULTATION),
168-188,168,DOCTOR VISITING FEE,DR.MADHAVA RAO(SINGLE ROOM  CONSULTATION),
168-189,168,DOCTOR VISITING FEE,DR.MADHAVA RAO(DELUXE ROOM / BMT CONSULTATION),
168-190,168,DOCTOR VISITING FEE,DR.MADHAVA RAO(ALL ICUS CONSULTATION),
168-191,168,DOCTOR VISITING FEE,DR.K.V.KAMESH(GENERAL WARD CONSULTATION),
168-192,168,DOCTOR VISITING FEE,DR.K.V.KAMESH(SHARING / SEMIPRIVATE CONSULTATION),
168-193,168,DOCTOR VISITING FEE,DR.K.V.KAMESH(SINGLE ROOM  CONSULTATION),
168-194,168,DOCTOR VISITING FEE,DR.K.V.KAMESH(DELUXE ROOM / BMT CONSULTATION),
168-195,168,DOCTOR VISITING FEE,DR.K.V.KAMESH(ALL ICUS CONSULTATION),
168-196,168,DOCTOR VISITING FEE,DR.RAJENDRA(GENERAL WARD CONSULTATION),
168-197,168,DOCTOR VISITING FEE,DR.RAJENDRA(SHARING / SEMIPRIVATE CONSULTATION),
168-198,168,DOCTOR VISITING FEE,DR.RAJENDRA(SINGLE ROOM  CONSULTATION),
168-199,168,DOCTOR VISITING FEE,DR.RAJENDRA(DELUXE ROOM / BMT CONSULTATION),
168-200,168,DOCTOR VISITING FEE,DR.RAJENDRA(ALL ICUS CONSULTATION),
168-201,168,DOCTOR VISITING FEE,DR.ALOK SHARMA(SINGLE ROOM  CONSULTATION),
168-202,168,DOCTOR VISITING FEE,DR.ALOK SHARMA(DELUXE ROOM / BMT CONSULTATION),
168-203,168,DOCTOR VISITING FEE,DR.ALOK SHARMA(ALL ICUS CONSULTATION),
168-204,168,DOCTOR VISITING FEE,DR.MAHESH(GENERAL WARD CONSULTATION),
168-205,168,DOCTOR VISITING FEE,DR.MAHESH(SHARING / SEMIPRIVATE CONSULTATION),
168-206,168,DOCTOR VISITING FEE,DR.MAHESH(SINGLE ROOM  CONSULTATION),
168-207,168,DOCTOR VISITING FEE,DR.MAHESH(DELUXE ROOM / BMT CONSULTATION),
168-208,168,DOCTOR VISITING FEE,DR.MAHESH(ALL ICUS CONSULTATION),
168-209,168,DOCTOR VISITING FEE,DR.J.VENU GOPAL(GENERAL WARD CONSULTATION),
168-210,168,DOCTOR VISITING FEE,DR.J.VENU GOPAL(SHARING / SEMIPRIVATE CONSULTATION),
168-211,168,DOCTOR VISITING FEE,DR.J.VENU GOPAL(SINGLE ROOM  CONSULTATION),
168-212,168,DOCTOR VISITING FEE,DR.J.VENU GOPAL(DELUXE ROOM / BMT  CONSULTATION),
168-213,168,DOCTOR VISITING FEE,DR.J.VENU GOPAL(ALL ICUS  CONSULTATION),
168-214,168,DOCTOR VISITING FEE,DR.NAGA RAJU(GENERAL WARD CONSULTATION),
168-215,168,DOCTOR VISITING FEE,DR.NAGA RAJU(SHARING / SEMIPRIVATE CONSULTATION),
168-216,168,DOCTOR VISITING FEE,DR.NAGA RAJU(SINGLE ROOM  CONSULTATION),
168-217,168,DOCTOR VISITING FEE,DR.NAGA RAJU(DELUXE ROOM / BMT CONSULTATION),
168-218,168,DOCTOR VISITING FEE,DR.NAGA RAJU(ALL ICUS CONSULTATION),
168-219,168,DOCTOR VISITING FEE,DR.SAI KRISHAN(GENERAL WARD CONSULTATION),
168-220,168,DOCTOR VISITING FEE,DR.SAI KRISHNA(SHARING / SEMIPRIVATE CONSULTATION),
168-221,168,DOCTOR VISITING FEE,DR.RAJA SHEKAR(GENERAL WARD CONSULTATION),
168-222,168,DOCTOR VISITING FEE,DR.RAJA SHEKAR(SHARING / SEMIPRIVATE CONSULTATION),
168-223,168,DOCTOR VISITING FEE,DR.RAJA SHEKAR(SINGLE ROOM  CONSULTATION),
168-224,168,DOCTOR VISITING FEE,DR.RAJA SHEKAR(DELUXE ROOM / BMT CONSULTATION),
168-225,168,DOCTOR VISITING FEE,DR.RAJA SHEKAR(ALL ICS CONSULTATION),
168-226,168,DOCTOR VISITING FEE,DR.SAI KRISHNA (SHARING / SEMIPRIVATE CONSULTATION),
168-227,168,DOCTOR VISITING FEE,DR.SAI KRISHNA(SINGLE ROOM CONSULTATION),
168-228,168,DOCTOR VISITING FEE,DR.SAI KRISHNA(DELUXE ROOM / BMT CONSULTATION),
168-229,168,DOCTOR VISITING FEE,DR.SAI KRISHNA(ALL ICUS CONSULTATION),
168-230,168,DOCTOR VISITING FEE,DR.SRIRANG ABKARI(GENERAL WARD CONSULTATION),
168-231,168,DOCTOR VISITING FEE,DR.SRIRANG ABKARI(SHARING / SEMIPRIVATE CONSULTATION),
168-232,168,DOCTOR VISITING FEE,DR.SRIRANG ABKARI(SINGLE ROOM  CONSULTATION),
168-233,168,DOCTOR VISITING FEE,DR.SRIRANG ABKARI(DELUXE ROOM / BMT  CONSULTATION),
168-234,168,DOCTOR VISITING FEE,DR.SRIRANG ABKARI(ALL ICUS CONSULTATION),
168-235,168,DOCTOR VISITING FEE,DR.RAVINDRA(GENERAL WARD CONSULTATION),
168-236,168,DOCTOR VISITING FEE,DR.RAVINDRA(SHARING / SEMIPRIVATE CONSULTATION),
168-237,168,DOCTOR VISITING FEE,DR.RAVINDRA(SINGLE ROOM  CONSULTATION),
168-238,168,DOCTOR VISITING FEE,DR.RAVINDRA(DELUXE ROOM / BMT CONSULTATION),
168-239,168,DOCTOR VISITING FEE,DR.RAVINDRA(ALL ICUS CONSULTATION),
168-240,168,DOCTOR VISITING FEE,DR.JITENDRAN(GENERAL WARD CONSULTATION),
168-241,168,DOCTOR VISITING FEE,DR.JITENDRAN(SHARING / SEMIPRIVATE CONSULTATION),
168-242,168,DOCTOR VISITING FEE,DR.JITENDRAN(SINGLE ROOM  CONSULTATION),
168-243,168,DOCTOR VISITING FEE,DR.JITENDRAN(DELUXE ROOM / BMT CONSULTATION),
168-244,168,DOCTOR VISITING FEE,DR.JITENDRAN(ALL ICS CONSULTATION),
168-245,168,DOCTOR VISITING FEE,DR.SUDHIR PRASAD(GENERAL WARD CONSULTATION),
168-246,168,DOCTOR VISITING FEE,DR.SUDHIR PRASAD(SHARING / SEMIPRIVATE CONSULTATION),
168-247,168,DOCTOR VISITING FEE,DR.SUDHIR PRASAD(SINGLE ROOM  CONSULTATION),
168-248,168,DOCTOR VISITING FEE,DR.SUDHIR PRASAD(DELUXE ROOM / BMT  CONSULTATION),
168-249,168,DOCTOR VISITING FEE,DR.SUDHIR PRASAD(ALL ICS CONSULTATION),
168-250,168,DOCTOR VISITING FEE,DR.HARI KUMAR(GENERAL WARD CONSULTATION),
168-251,168,DOCTOR VISITING FEE,DR.HARI KUMAR(SHARING / SEMIPRIVATE CONSULTATION),
168-252,168,DOCTOR VISITING FEE,DR.HARI KUMAR(SINGLE ROOM  CONSULTATION),
168-253,168,DOCTOR VISITING FEE,DR.HARI KUMAR(DELUXE ROOM / BMT CONSULTATION),
168-254,168,DOCTOR VISITING FEE,DR.HARI KUMAR(ALL ICUS CONSULTATION),
168-255,168,DOCTOR VISITING FEE,DR.DEENA PATIL(GENERAL WARD CONSULTATION),
168-256,168,DOCTOR VISITING FEE,DR.DEENA PATIL(SHARING / SEMIPRIVATE CONSULTATION),
168-257,168,DOCTOR VISITING FEE,DR.DEENA PATIL(SINGLE ROOM  CONSULTATION),
168-258,168,DOCTOR VISITING FEE,DR.DEENA PATIL(DELUXE ROOM / BMT CONSULTATION),
168-259,168,DOCTOR VISITING FEE,DR.DEENA PATIL(ALL ICUS CONSULTATION),
168-260,168,DOCTOR VISITING FEE,DR.GAURAV GUPTA(GENERAL WARD CONSULTATION),
168-261,168,DOCTOR VISITING FEE,DR.GAURAV GUPTA(SHARING / SEMIPRIVATE CONSULTATION),
168-262,168,DOCTOR VISITING FEE,DR.GAURAV GUPTA(SINGLE ROOM  CONSULTATION),
168-263,168,DOCTOR VISITING FEE,DR.GAURAV GUPTA(DELUXE ROOM / BMT CONSULTATION),
168-264,168,DOCTOR VISITING FEE,DR.GAURAV GUPTA(ALL ICUS CONSULTATION),
168-265,168,DOCTOR VISITING FEE,DR.A.RAJESH(GENERAL WARD CONSULTATION),
168-266,168,DOCTOR VISITING FEE,DR.A.RAJESH(SHARING / SEMIPRIVATE CONSULTATION),
168-267,168,DOCTOR VISITING FEE,DR.A.RAJESH(SINGLE ROOM  CONSULTATION),
168-268,168,DOCTOR VISITING FEE,DR.A.RAJESH(DELUXE ROOM / BMT CONSULTATION),
168-269,168,DOCTOR VISITING FEE,DR.A.RAJESH(ALL ICUS CONSULTATION),
168-275,168,DOCTOR VISITING FEE,DR.NARAHARI.M(GENERAL WARD CONSULTATION),
168-276,168,DOCTOR VISITING FEE,DR.NARAHARI.M(SHARING/SEMI PRIVATE CONSULTATION),
168-277,168,DOCTOR VISITING FEE,DR.NARAHARI.M(SINGLE ROOM CONSULTATION),
168-278,168,DOCTOR VISITING FEE,DR.NARAHARI.M(DELUXE ROOM/BMT CONSULTATION),
168-279,168,DOCTOR VISITING FEE,DR.NARAHARI.M(ALL ICUS CONSULTATION),
168-280,168,DOCTOR VISITING FEE,DR.SRINIVAS.V(GENERAL WARD CONSULTATION),
168-281,168,DOCTOR VISITING FEE,DR.SRINIVAS.V(SHARING/SEMI PRIVATE CONSULTATION),
168-282,168,DOCTOR VISITING FEE,DR.SRINIVAS.V(SINGLE ROOM CONSULTATION),
168-283,168,DOCTOR VISITING FEE,DR.SRINIVAS.V(DELUXE ROOM/BMT CONSULTATION),
168-284,168,DOCTOR VISITING FEE,DR.SRINIVAS.V(ALL ICUS CONSULTATION),
168-285,168,DOCTOR VISITING FEE,DR.HORE DAYANESH(GENERAL WARD CONSULTATION),
168-286,168,DOCTOR VISITING FEE,DR.HORE DAYANESH(SHARING/SEMI PRIVATE CONSULTATION),
168-287,168,DOCTOR VISITING FEE,DR.HORE DAYANESH(SINGLE ROOM CONSULTATION),
168-288,168,DOCTOR VISITING FEE,DR.HORE DAYANESH(DELUXE ROOM/BMT CONSULTATION),
168-289,168,DOCTOR VISITING FEE,DR.HORE DAYANESH(ALL ICUS CONSULTATION),
168-290,168,DOCTOR VISITING FEE,DR.MEENU MITAL(GENERAL WARD CONSULTATION),
168-291,168,DOCTOR VISITING FEE,DR.MEENU MITAL(SHARING/SEMI PRIVATE CONSULTATION),
168-292,168,DOCTOR VISITING FEE,DR.MEENU MITAL(SINGLE ROOM CONSULTATION),
168-293,168,DOCTOR VISITING FEE,DR.MEENU MITAL(DELUXE ROOM/BMT CONSULTATION),
168-294,168,DOCTOR VISITING FEE,DR.MEENU MITAL(ALL ICUS CONSULTATION),
168-295,168,DOCTOR VISITING FEE,DR. M SRINAVAS (GENERAL WARD CONSULTATION),
168-296,168,DOCTOR VISITING FEE,DR. M SRINAVAS (SHARING / SEMIPRIVATE CONSULTATION),
168-297,168,DOCTOR VISITING FEE,DR. M SRINAVAS (SINGLE ROOM  CONSULTATION),
168-298,168,DOCTOR VISITING FEE,DR. M SRINAVAS (DELUXE ROOM / BMT CONSULTATION),
168-299,168,DOCTOR VISITING FEE,DR. M SRINAVAS (ALL ICUS  CONSULTATION),
168-300,168,DOCTOR VISITING FEE,DR. SANDHYA B (GENERAL WARD CONSULTATION),
168-301,168,DOCTOR VISITING FEE,DR SANDHYA B (SHARING / SEMIPRIVATE CONSULTATION),
168-302,168,DOCTOR VISITING FEE,DR SANDHYA B (SINGLE ROOM  CONSULTATION),
168-303,168,DOCTOR VISITING FEE,DR. SANDHYA B (DELUXE ROOM / BMT CONSULTATION),
168-304,168,DOCTOR VISITING FEE,DR. SANDHYA B (ALL ICUS  CONSULTATION),
168-310,168,DOCTOR VISITING FEE,DR. N VIKRAMADITYA (GENERAL WARD CONSULTATION),
168-311,168,DOCTOR VISITING FEE,DR. N VIKRAMADITYA (SHARING / SEMIPRIVATE CONSULTATION),
168-312,168,DOCTOR VISITING FEE,DR. N VIKRAMADITYA (SINGLE ROOM  CONSULTATION),
168-313,168,DOCTOR VISITING FEE,DR. N VIKRAMADITYA (DELUXE ROOM / BMT  CONSULTATION),
168-314,168,DOCTOR VISITING FEE,DR. N VIKRAMADITYA (ALL ICUS  CONSULTATION),
168-315,168,DOCTOR VISITING FEE,DR. KODATI VIJAYA LAKSHMI (GENERAL WARD CONSULTATION),
168-316,168,DOCTOR VISITING FEE,DR. KODATI VIJAYA LAKSHMI (SHARING / SEMIPRIVATE CONSULTATION),
168-317,168,DOCTOR VISITING FEE,DR. KODATI VIJAYA LAKSHMI (SINGLE ROOM  CONSULTATION),
168-318,168,DOCTOR VISITING FEE,DR. KODATI VIJAYA LAKSHMI (DELUXE ROOM / BMT CONSULTATION),
168-319,168,DOCTOR VISITING FEE,DR. KODATI VIJAYA LAKSHMI (ALL ICUS  CONSULTATION),
168-320,168,DOCTOR VISITING FEE,DR. SAMBASIVAIAH.K (GENERAL WARD CONSULTATION),
168-321,168,DOCTOR VISITING FEE,DR. SAMBASIVAIAH.K (SHARING / SEMIPRIVATE CONSULTATION),
168-322,168,DOCTOR VISITING FEE,DR. SAMBASIVAIAH.K (SINGLE ROOM  CONSULTATION),
168-323,168,DOCTOR VISITING FEE,DR. SAMBASIVAIAH.K (DELUXE ROOM / BMT CONSULTATION),
168-324,168,DOCTOR VISITING FEE,DR. SAMBASIVAIAH.K (ALL ICUS  CONSULTATION),
168-325,168,DOCTOR VISITING FEE,DR.MITHIN AACHI(GENERAL WARD CONSULTATION),
168-326,168,DOCTOR VISITING FEE,DR.MITHIN AACHI(SHARING / SEMIPRIVATE CONSULTATION),
168-327,168,DOCTOR VISITING FEE,DR.MITHIN AACHI(SINGLE ROOM  CONSULTATION),
168-328,168,DOCTOR VISITING FEE,DR.MITHIN AACHI(DELUXE ROOM / BMT CONSULTATION),
168-329,168,DOCTOR VISITING FEE,DR.MITHIN AACHI(ALL ICUS CONSULTATION),
168-330,168,DOCTOR VISITING FEE,DR.SRINIVAS B(GENERAL WARD CONSULTATION),
168-331,168,DOCTOR VISITING FEE,DR.SRINIVAS B(SHARING / SEMIPRIVATE CONSULTATION),
168-332,168,DOCTOR VISITING FEE,DR.SRINIVAS B(SINGLE ROOM  CONSULTATION),
168-333,168,DOCTOR VISITING FEE,DR.SRINIVAS B(DELUXE ROOM / BMT CONSULTATION),
168-334,168,DOCTOR VISITING FEE,DR.SRINIVAS B(ALL ICUS CONSULTATION),
168-335,168,DOCTOR VISITING FEE,DR. NARAYANA RAO (GENERAL WARD CONSULTATION),
168-336,168,DOCTOR VISITING FEE,DR. NARAYANA RAO (SHARING / SEMIPRIVATE CONSULTATION),
168-337,168,DOCTOR VISITING FEE,DR. NARAYANA RAO (SINGLE ROOM  CONSULTATION),
168-338,168,DOCTOR VISITING FEE,DR. NARAYANA RAO (DELUXE ROOM / BMT CONSULTATION),
168-339,168,DOCTOR VISITING FEE,DR. NARAYANA RAO (ALL ICU'S  CONSULTATION),
168-340,168,DOCTOR VISITING FEE,DR. RAM DAS J (GENERAL WARD CONSULTATION),
168-341,168,DOCTOR VISITING FEE,DR. RAM DAS J (SHARING / SEMIPRIVATE CONSULTATION),
168-342,168,DOCTOR VISITING FEE,DR. RAM DAS J (SINGLE ROOM  CONSULTATION),
168-343,168,DOCTOR VISITING FEE,DR. RAM DAS J (DELUXE ROOM / BMT CONSULTATION),
168-344,168,DOCTOR VISITING FEE,DR. RAM DAS J (ALL ICU'S  CONSULTATION),
168-345,168,DOCTOR VISITING FEE,DR.NAGESHWAR K(GENERAL WARD CONSULTATION),
168-346,168,DOCTOR VISITING FEE,DR.NAGESHWAR K(SHARING / SEMIPRIVATE CONSULTATION),
168-347,168,DOCTOR VISITING FEE,DR.NAGESHWAR K(SINGLE ROOM  CONSULTATION),
168-348,168,DOCTOR VISITING FEE,DR.NAGESHWAR K(DELUXE ROOM / BMT CONSULTATION),
168-349,168,DOCTOR VISITING FEE,DR.NAGESHWAR K(ALL ICUS CONSULTATION),
168-351,168,DOCTOR VISITING FEE, DR.SHANTHI SRI(SHARING / SEMIPRIVATE CONSULTATION),
168-355,168,DOCTOR VISITING FEE,DR.(COL) KRM RAO(GENERAL WARD CONSULTATION),
168-356,168,DOCTOR VISITING FEE,DR.(COL) KRM RAO (SHARING / SEMIPRIVATE CONSULTATION),
168-357,168,DOCTOR VISITING FEE,DR.(COL) KRM RAO (SINGLE ROOM  CONSULTATION),
168-358,168,DOCTOR VISITING FEE,DR.(COL) KRM RAO (DELUXE ROOM / BMT CONSULTATION),
168-359,168,DOCTOR VISITING FEE,DR.(COL) KRM RAO (ALL ICUS CONSULTATION),
168-360,168,DOCTOR VISITING FEE,DR.(Capt) S V KRISHNA RAO(GENERAL WARD CONSULTATION),
168-361,168,DOCTOR VISITING FEE,DR.(Capt) S V KRISHNA RAO (SHARING/SEMI PRIVATE CONSULTATION),
168-362,168,DOCTOR VISITING FEE,DR.(Capt) S V KRISHNA RAO (SINGLE ROOM CONSULTATION),
168-363,168,DOCTOR VISITING FEE,DR.(Capt) S V KRISHNA RAO (DELUXE ROOM/BMT CONSULTATION),
168-364,168,DOCTOR VISITING FEE,DR.(Capt) S V KRISHNA RAO (ALL ICUS CONSULTATION),
168-365,168,DOCTOR VISITING FEE,DR.VENKATESH KUMAR (GENERAL WARD CONSULTATION),
168-366,168,DOCTOR VISITING FEE,DR.VENKATESH KUMAR (SHARING / SEMIPRIVATE CONSULTATION),
168-367,168,DOCTOR VISITING FEE,DR.VENKATESH KUMAR (SINGLE ROOM  CONSULTATION),
168-368,168,DOCTOR VISITING FEE,DR.VENKATESH KUMAR (DELUXE ROOM / BMT CONSULTATION),
168-369,168,DOCTOR VISITING FEE,DR.VENKATESH KUMAR (ALL ICUS CONSULTATION),
168-375,168,DOCTOR VISITING FEE,DR.SIDHARTH RAOUTH (GENERAL WARD CONSULTATION),
168-376,168,DOCTOR VISITING FEE,DR.SIDHARTH RAOUTH (SHARING / SEMIPRIVATE CONSULTATION),
168-377,168,DOCTOR VISITING FEE,DR.SIDHARTH RAOUTH (SINGLE ROOM  CONSULTATION),
168-378,168,DOCTOR VISITING FEE,DR.SIDHARTH RAOUTH (DELUXE ROOM / BMT CONSULTATION),
168-379,168,DOCTOR VISITING FEE,DR.SIDHARTH RAOUTH (ALL ICUS CONSULTATION),
168-380,168,DOCTOR VISITING FEE,DR.SURYA RAMACHANDRA VARMA (GENERAL WARD CONSULTATION),
168-381,168,DOCTOR VISITING FEE,DR.SURYA RAMACHANDRA VARMA (SHARING / SEMIPRIVATE CONSULTATION),
168-382,168,DOCTOR VISITING FEE,DR.SURYA RAMACHANDRA VARMA (SINGLE ROOM  CONSULTATION),
168-383,168,DOCTOR VISITING FEE,DR.SURYA RAMACHANDRA VARMA (DELUXE ROOM / BMT CONSULTATION),
168-384,168,DOCTOR VISITING FEE,DR.SURYA RAMACHANDRA VARMA (ALL ICUS CONSULTATION),
168-385,168,DOCTOR VISITING FEE, DR.ADNAIK MANSINGH (GENERAL WARD CONSULTATION),
168-388,168,DOCTOR VISITING FEE, DR.ADNAIK MANSINGH (DELUXE ROOM / BMT CONSULTATION),
168-390,168,DOCTOR VISITING FEE,DR.B G K RAJU (GENERAL WARD CONSULTATION),
168-391,168,DOCTOR VISITING FEE,DR.B G K RAJU (SHARING / SEMIPRIVATE CONSULTATION),
168-392,168,DOCTOR VISITING FEE,DR.B G K RAJU (SINGLE ROOM  CONSULTATION),
168-393,168,DOCTOR VISITING FEE,DR.B G K RAJU (DELUXE ROOM / BMT CONSULTATION),
168-394,168,DOCTOR VISITING FEE,DR.B G K RAJU (ALL ICUS CONSULTATION),
168-395,168,DOCTOR VISITING FEE,DR.SANJAY JOSEPH (GENERAL WARD CONSULTATION),
168-396,168,DOCTOR VISITING FEE,DR.SANJAY JOSEPH (SHARING / SEMIPRIVATE CONSULTATION),
168-397,168,DOCTOR VISITING FEE,DR.SANJAY JOSEPH (SINGLE ROOM  CONSULTATION),
168-398,168,DOCTOR VISITING FEE,DR.SANJAY JOSEPH (DELUXE ROOM / BMT CONSULTATION),
168-399,168,DOCTOR VISITING FEE,DR.SANJAY JOSEPH (ALL ICUS CONSULTATION),
168-410,168,DOCTOR VISITING FEE,DR.NAGESWARA  RAO(GENERAL WARD CONSULTATION),
168-411,168,DOCTOR VISITING FEE,DR.NAGESWARA  RAO(SHARING / SEMIPRIVATE CONSULTATION),
168-412,168,DOCTOR VISITING FEE,DR.NAGESWARA  RAO(SINGLE ROOM  CONSULTATION),
168-413,168,DOCTOR VISITING FEE,DR.NAGESWARA  RAO(DELUXE ROOM / BMT CONSULTATION),
168-414,168,DOCTOR VISITING FEE, DR.NAGESWARA  RAO(ALL ICUS CONSULTATION),
168-415,168,DOCTOR VISITING FEE,DR.MURALI KRISHNA CH. V(GENERAL WARD CONSULTATION),
168-416,168,DOCTOR VISITING FEE,DR.MURALI KRISHNA CH. V(SHARING / SEMIPRIVATE CONSULTATION),
168-417,168,DOCTOR VISITING FEE,DR.MURALI KRISHNA CH. V(SINGLE ROOM  CONSULTATION),
168-418,168,DOCTOR VISITING FEE,DR.MURALI KRISHNA CH. V(DELUXE ROOM / BMT CONSULTATION),
168-419,168,DOCTOR VISITING FEE,DR.MURALI KRISHNA CH. V(ALL ICUS CONSULTATION),
168-441,168,DOCTOR VISITING FEE,Dr.S.RAMESH KUMAR(GENERAL WARD CONSULTATION),
168-420,168,DOCTOR VISITING FEE,DR. N UPENDRA KUMAR(GENERAL WARD CONSULTATION),
168-421,168,DOCTOR VISITING FEE,DR. N UPENDRA KUMAR(SHARING / SEMIPRIVATE CONSULTATION),
168-423,168,DOCTOR VISITING FEE,DR. N UPENDRA KUMAR(SINGLE ROOM  CONSULTATION),
168-424,168,DOCTOR VISITING FEE,DR. N UPENDRA KUMAR(DELUXE ROOM / BMT CONSULTATION),
168-425,168,DOCTOR VISITING FEE,DR. N UPENDRA KUMAR(ALL ICUS CONSULTATION),
168-436,168,DOCTOR VISITING FEE,DR.M.GRANDHITAGORE(GENERAL WARD CONSULTATION),
168-437,168,DOCTOR VISITING FEE,DR.M.GRANDHITAGORE(SINGLE ROOM  CONSULTATION),
168-438,168,DOCTOR VISITING FEE,DR.M.GRANDHITAGORE(DELUXE ROOM / BMT CONSULTATION),
168-439,168,DOCTOR VISITING FEE,DR.M.GRANDHITAGORE(ALL ICUS CONSULTATION),
168-440,168,DOCTOR VISITING FEE,DR.M.GRANDHITAGORE(SHARING / SEMIPRIVATE CONSULTATION),
168-442,168,DOCTOR VISITING FEE,Dr.S.RAMESH KUMAR(SINGLE ROOM  CONSULTATION),
168-443,168,DOCTOR VISITING FEE,Dr.S.RAMESH KUMAR(DELUXE ROOM / BMT CONSULTATION),
168-444,168,DOCTOR VISITING FEE,Dr.S.RAMESH KUMAR(ALL ICUS CONSULTATION),
168-445,168,DOCTOR VISITING FEE,Dr.S.RAMESH KUMAR(SHARING / SEMIPRIVATE CONSULTATION),
168-451,168,DOCTOR VISITING FEE,DR.ALLA GOPALA KRISHNA GOKHALE(GENERAL WARD CONSULTATION),
168-452,168,DOCTOR VISITING FEE,DR.ALLA GOPALA KRISHNA GOKHALE(SINGLE ROOM  CONSULTATION),
168-453,168,DOCTOR VISITING FEE,DR.ALLA GOPALA KRISHNA GOKHALE(DELUXE ROOM / BMT CONSULTATION),
168-454,168,DOCTOR VISITING FEE,DR.ALLA GOPALA KRISHNA GOKHALE(ALL ICUS CONSULTATION),
168-455,168,DOCTOR VISITING FEE,DR.ALLA GOPALA KRISHNA GOKHALE(SHARING / SEMIPRIVATE CONSULTATION),
168-470,168,DOCTOR VISITING FEE,Dr.SANDEEP REDDY .Y(GENERAL WARD CONSULTATION),
168-471,168,DOCTOR VISITING FEE,Dr.SANDEEP REDDY .Y(SHARING/SEMI PRIVATE CONSULTATION),
168-472,168,DOCTOR VISITING FEE,Dr.SANDEEP REDDY .Y(SINGLE ROOM CONSULTATION),
168-473,168,DOCTOR VISITING FEE,Dr.SANDEEP REDDY .Y(DELUXE ROOM/BMT CONSULTATION),
168-474,168,DOCTOR VISITING FEE,Dr.SANDEEP REDDY .Y(ALL ICUS CONSULTATION),
168-475,168,DOCTOR VISITING FEE,Dr.Raja Prasad . P .(ALL ICS CONSULTATION),
168-476,168,DOCTOR VISITING FEE,Dr.Raja Prasad . P .(DELUXE ROOM/BMT CONSULTATION),
168-477,168,DOCTOR VISITING FEE,Dr.Raja Prasad . P .(GENERAL WARD CONSULTATION),
168-478,168,DOCTOR VISITING FEE,Dr.Raja Prasad . P .(SHARING/SEMI PRIVATE CONSULTATION),
168-479,168,DOCTOR VISITING FEE,Dr.Raja Prasad . P .(SINGLE ROOM CONSULTATION),
168-480,168,DOCTOR VISITING FEE,Dr.SAI RAM .C(GENERAL WARD CONSULTATION),
168-481,168,DOCTOR VISITING FEE,Dr.SAI RAM .C(SHARING/SEMI PRIVATE CONSULTATION),
168-482,168,DOCTOR VISITING FEE,Dr.SAI RAM .C(SINGLE ROOM CONSULTATION),
168-483,168,DOCTOR VISITING FEE,Dr.SAI RAM .C(DELUXE ROOM/BMT CONSULTATION),
168-484,168,DOCTOR VISITING FEE,Dr.SAI RAM .C(ALL ICUS CONSULTATION),
168-485,168,DOCTOR VISITING FEE,Dr.ANOOP MEHTA .(GENERAL WARD CONSULTATION),
168-486,168,DOCTOR VISITING FEE,Dr.ANOOP MEHTA .(SHARING/SEMI PRIVATE CONSULTATION),
168-487,168,DOCTOR VISITING FEE,Dr.ANOOP MEHTA .(SINGLE ROOM CONSULTATION),
